type,name,group,price,manufacturer,description,image
cardio,NOHRD WaterGrinder,null,1799,NOHRD,"A unique product that actually gives you an amazing upper body workout, the NOHRD WaterGrinder is a hand crank water resistance workout that is both challenging and fun to use. Designed to mimic the action of winching a sail on a ship, the G1 performance monitor also enhances the Water Grinder as not only can you use sitting,  you can flip it and use when standing up to workout.",
cardio,Life Fitness E3 Cross Trainer,cross-trainers,3495,Life Fitness,"Whether you are striving for the whisper quiet, smooth stride motion, a specifically designed system that disperses the workout to muscles throughout the body or simply, a stylish, sleek looking machine, the Life Fitness E3 cross trainer has everything covered and now includes its CoachZone feature which coaches you to train different muscle groups.",
cardio,Life Fitness T3 Treadmill,treadmills,3095,Life Fitness,"Only serving to enhance Life’s impressive range of home exercise equipment, the Life Fitness T3 Treadmill with Track Connect console compliments any home with its stylish, modern design, with an array of features that will bring a whole new pleasure to home exercise. The powerful 3.0 HP motor ensures the belt runs smoothly and efficiently throughout use.",
cardio,Life Fitness E5 Cross Trainer,cross-trainers,4695,Life Fitness,"Whatever level you are. With 14 workout programs and apple/android connectivity with the Track Connect Console, you get more than just a casual cardio workout meaning you can choose between low or high intensity. The E5 Cross Trainer from Life Fitness is an excellent way to get a low impact, high intensity workout.",
cardio,WaterRower A1 Studio Rowing Machine with LCD,rowing-machines,899,WaterRower,"The A1 Studio WaterRower is specifically designed to be a lightweight, portable and space-saving rowing machine. The A1 hybrid is excellent value for money and is the perfect rower for homes or fitness studios. With a natural, fluid-based resistance, monitor and the mono-rail design, it's a superb rower which nows come with a commercial warranty.",
cardio,WaterRower Original Series Walnut Rowing Machine,rowing-machines,1349,WaterRower,"The Original Series Classic is a smooth, silent, stylish and easy to store rower. As with other models, the WaterRower Original Series Walnut Classic rowing machine offers a total body workout. As well as having won a host of design awards, this model has been carefully hand crafted from solid American black walnut wood which is extremely hard-wearing.",
cardio,WaterRower Original Series Ash Rowing Machine,rowing-machines,1099,WaterRower,"One of our most popular rowing machines, the WaterRower Original Series Ash Rowing Machine (Natural) gives you an unrivalled aerobic and muscular workout, whether you are at home or in the gym. Designed to simulate the smooth, flowing nature of a boat gliding through water, the Water Rower Natural rowing machine is a superb all-rounder and comes at a great price. This model will fit seamlessly into your home whether you're using it or storing it upright after a hard workout.",
cardio,Inspire Fitness CS2 Cardio Strider,null,1199,Inspire Fitness,"Looking for something a little different so that you can get the most out of your workouts, then look no further than the Inspire Fitness CS2 cardio strider. This machine combines movement of the arms and and legs for a full body workout that will help you lose weight and tone up. It is similar to a cross trainer and allows you to step/stride away whilst your arms pull back and forth.",
cardio,Life Fitness Row HX Rowing Machine,rowing-machines,1495,Life Fitness,"Want to exercise at home with a low impact, total body piece of gym equipment? The Life Fitness Row HX trainer is the latest rowing machine to feature fluid technology resistance - or water to you and me. With a smooth rowing action and eye catching wooden frame, this is a stylish piece of equipment that delivers on every level.",
cardio,Life Fitness IC5 Indoor Cycle,exercise-bikes,1995,Life Fitness,"For a realistic indoor bike workout, you need a bike that will perform. This latest Life Fitness IC5 ICG Indoor bike enables you to cycle harder and cycle with more intensity partly thanks to the POLY-V Belt drivetrain that ensures all your power goes directly to the flywheel. The WattRate® LCD computer allows you to monitor and track your progress along with features like the ""Coach by Colour"" intensity guide and exchanging of data between devices.",
cardio,StairMaster StepMill SM3,climbers,3980,StairMaster,"The Stairmaster Stepmill 3 is the perfect choice for those that want the original stair climber but have limited floor space or a reduced ceiling height. With a large backlit LCD display and over 25 workout combinations there is something to keep everyone occupied. The SM3 console gives you feedback on duration, calories burned, Watts produced and most importantly, floors climbed so you can keep track of your progress.",
cardio,Star Trac S Series Treadmill,treadmills,4823,Startrac,"A true commercial model, the Star Trac S-Series Treadmill boasts the 5HP motor that provides smooth and easy transition up to 12.5mph deck speed. Increasingly popular for home users, Star Trac offer a high quality build of both frame and moving parts, including the motor. The features it offers include the Soft Trac triple-cell deck cushioning to help protect your joints when you're running.",
